OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,Discount
1,1,350,3,147.79,0.0
2,1,349,3,96.49,15.0
3,1,348,3,294.31,5.0
4,1,347,4,735.57,10.0
5,1,346,1,251.44,0.0
6,2,345,3,663.02,0.0
7,2,344,4,1019.43,5.0
8,2,343,4,1031.03,0.0
9,2,342,1,906.32,10.0
10,3,341,3,371.14,10.0
11,4,340,1,664.05,0.0
12,4,339,1,149.49,5.0
13,5,338,2,960.23,5.0
14,5,337,3,1001.1,0.0
15,5,336,3,908.07,0.0
16,5,335,2,402.41,0.0
17,6,334,1,350.09,5.0
18,7,333,4,675.43,0.0
19,7,332,2,536.89,10.0
20,7,331,4,873.18,15.0
21,7,330,4,198.9,0.0
22,8,329,4,77.15,0.0
23,8,328,1,594.48,10.0
24,8,327,4,238.54,10.0
25,9,326,4,807.33,0.0
26,9,325,3,184.56,10.0
27,10,324,1,462.26,0.0
28,10,323,3,668.89,5.0
29,10,322,1,584.54,10.0
30,11,321,1,748.33,0.0
31,12,320,2,153.37,0.0
32,12,319,2,220.7,0.0
33,12,318,1,1140.84,0.0
34,12,317,1,314.99,10.0
35,12,316,3,450.41,0.0
36,13,315,3,936.62,0.0
37,14,314,1,769.59,15.0
38,14,313,2,664.21,15.0
39,14,312,4,635.26,0.0
40,14,311,1,455.68,10.0
41,14,310,1,539.85,10.0
42,15,309,3,119.35,5.0
43,15,308,2,880.74,0.0
44,15,307,3,191.83,0.0
45,15,306,3,109.83,0.0
46,16,305,1,417.75,10.0
47,16,304,4,724.76,5.0
48,16,303,4,228.69,0.0
49,17,302,1,378.84,5.0
50,17,301,3,705.59,10.0
51,17,300,1,72.06,15.0
52,17,299,3,927.66,5.0
53,17,298,4,872.38,15.0
54,18,297,2,449.29,10.0
55,18,296,2,350.86,0.0
56,18,295,4,847.7,0.0
57,18,294,4,753.16,0.0
58,19,293,1,546.96,0.0
59,19,292,1,219.89,0.0
60,20,291,3,303.8,0.0
61,20,290,4,33.37,10.0
62,20,289,2,19.17,5.0
63,20,288,1,870.49,0.0
64,20,287,1,799.66,5.0
65,21,286,3,489.5,0.0
66,21,285,3,848.34,0.0
67,21,284,2,467.21,0.0
68,21,283,3,308.94,0.0
69,21,282,4,601.79,5.0
70,22,281,4,741.36,5.0
71,22,280,3,110.49,15.0
72,22,279,4,274.78,0.0
73,22,278,3,712.43,0.0
74,22,277,4,500.4,0.0
75,23,276,1,777.74,0.0
76,23,275,4,594.09,0.0
77,24,274,3,168.76,0.0
78,24,273,1,278.02,15.0
79,24,272,1,667.65,5.0
80,25,271,3,330.63,5.0
81,25,270,4,226.1,10.0
82,25,269,2,1018.77,10.0
83,25,268,1,191.82,5.0
84,26,267,2,420.79,0.0
85,26,266,4,261.6,15.0
86,26,265,3,1165.16,10.0
87,27,264,3,112.49,15.0
88,27,263,4,18.7,10.0
89,27,262,2,1151.04,0.0
90,27,261,4,410.35,0.0
91,28,260,1,374.17,15.0
92,29,259,4,760.29,15.0
93,30,258,2,286.66,0.0
94,30,257,2,24.64,0.0
95,30,256,1,964.55,15.0
96,30,255,1,142.59,0.0
97,30,254,4,671.74,0.0
98,31,253,1,835.44,0.0
99,31,252,3,970.83,0.0
100,32,251,2,926.41,0.0
101,32,250,4,14.32,5.0
102,32,249,3,93.66,0.0
103,33,248,1,439.78,10.0
104,33,247,2,696.26,15.0
105,33,246,1,960.43,5.0
106,33,245,3,734.99,15.0
107,34,244,4,795.98,0.0
108,35,243,3,359.0,15.0
109,35,242,1,1138.16,5.0
110,35,241,3,807.38,15.0
111,36,240,2,747.45,5.0
112,36,239,1,144.66,0.0
113,36,238,4,618.74,5.0
114,36,237,2,337.45,0.0
115,37,236,2,15.43,0.0
116,37,235,2,63.26,5.0
117,37,234,3,783.32,0.0
118,38,233,3,146.77,0.0
119,39,232,4,234.32,15.0
120,39,231,3,831.11,0.0
121,39,230,2,641.62,0.0
122,39,229,3,422.88,0.0
123,39,228,3,215.6,5.0
124,40,227,3,476.66,0.0
125,40,226,1,872.04,0.0
126,40,225,4,444.57,0.0
127,40,224,2,160.82,0.0
128,40,223,3,719.12,10.0
129,41,222,1,287.96,0.0
130,41,221,2,660.95,10.0
131,41,220,2,375.45,15.0
132,41,219,1,765.5,0.0
133,42,218,2,920.02,10.0
134,42,217,3,166.69,0.0
135,42,216,3,605.5,10.0
136,43,215,1,557.89,15.0
137,43,214,4,187.15,10.0
138,43,213,4,268.35,10.0
139,43,212,2,307.06,0.0
140,44,211,1,426.94,0.0
141,44,210,2,135.06,5.0
142,44,209,3,314.52,0.0
143,44,208,4,218.86,0.0
144,45,207,3,667.13,15.0
145,45,206,3,161.88,0.0
146,45,205,2,849.33,10.0
147,46,204,1,804.95,0.0
148,46,203,1,363.41,0.0
149,46,202,3,555.82,0.0
150,46,201,2,515.93,0.0
151,46,200,4,1008.9,10.0
152,47,199,1,743.88,10.0
153,47,198,4,124.35,0.0
154,47,197,3,679.88,15.0
155,48,196,4,36.8,10.0
156,49,195,2,659.87,0.0
157,50,194,2,740.03,0.0
158,50,193,3,125.21,0.0
159,51,192,3,435.07,15.0
160,51,191,3,881.86,10.0
161,51,190,3,324.72,0.0
162,51,189,4,514.5,0.0
163,51,188,1,1091.6,0.0
164,52,187,3,210.12,0.0
165,52,186,1,880.97,0.0
166,53,185,3,63.76,10.0
167,53,184,4,625.92,0.0
168,54,183,4,845.33,0.0
169,54,182,2,535.78,0.0
170,54,181,2,1112.37,0.0
171,54,180,4,146.66,10.0
172,55,179,1,651.33,0.0
173,55,178,1,301.42,0.0
174,55,177,4,785.71,0.0
175,56,176,1,922.63,0.0
176,56,175,4,597.89,15.0
177,56,174,3,423.68,5.0
178,56,173,4,394.1,0.0
179,57,172,4,791.11,15.0
180,57,171,4,188.79,0.0
181,57,170,3,340.86,0.0
182,58,169,4,151.71,15.0
183,59,168,3,163.67,15.0
184,59,167,3,786.15,0.0
185,59,166,1,485.93,10.0
186,59,165,3,285.43,15.0
187,59,164,3,686.93,0.0
188,60,163,3,824.38,15.0
189,61,162,1,306.82,5.0
190,61,161,1,20.65,0.0
191,61,160,1,566.96,10.0
192,61,159,2,830.82,0.0
193,61,158,4,82.75,0.0
194,62,157,4,85.79,0.0
195,62,156,1,79.66,0.0
196,62,155,2,819.06,0.0
197,63,154,4,677.0,15.0
198,63,153,2,737.64,0.0
199,63,152,2,570.06,0.0
200,63,151,2,852.86,5.0
201,64,150,4,461.16,0.0
202,64,149,2,268.63,10.0
203,64,148,1,811.61,10.0
204,64,147,1,568.89,10.0
205,64,146,1,460.89,5.0
206,65,145,2,242.86,0.0
207,66,144,3,1039.72,0.0
208,66,143,2,115.64,0.0
209,66,142,1,748.35,10.0
210,66,141,1,59.59,5.0
211,66,140,1,279.99,15.0
212,67,139,1,717.02,5.0
213,67,138,3,599.55,5.0
214,67,137,1,53.41,10.0
215,67,136,1,791.15,0.0
216,67,135,1,634.19,0.0
217,68,134,1,640.94,5.0
218,68,133,1,932.05,15.0
219,68,132,4,1009.82,5.0
220,68,131,2,769.46,15.0
221,68,130,1,309.51,15.0
222,69,129,4,496.66,15.0
223,69,128,2,584.56,15.0
224,69,127,2,163.64,15.0
225,69,126,1,879.39,0.0
226,70,125,2,68.22,10.0
227,70,124,2,1207.81,15.0
